cust_id,Lookalikes
C0001,"{'C0190': 0.968215451295126, 'C0048': 0.9410720811249147, 'C0118': 0.9182186575953006}"
C0002,"{'C0128': 0.9405449688340127, 'C0097': 0.8988071235864499, 'C0106': 0.897417999902512}"
C0003,"{'C0133': 0.9925083336710878, 'C0052': 0.9847977904024425, 'C0152': 0.9262643125643457}"
C0004,"{'C0113': 0.9828597350955222, 'C0012': 0.9711039819467209, 'C0104': 0.9431261033586318}"
C0005,"{'C0186': 0.9787905419345102, 'C0146': 0.9598508342465527, 'C0007': 0.9047531872453538}"
C0006,"{'C0168': 0.9732537429499297, 'C0171': 0.9513382554181676, 'C0187': 0.9447449444739173}"
C0007,"{'C0115': 0.934222671257929, 'C0005': 0.904753187245354, 'C0146': 0.8431738734340793}"
C0008,"{'C0194': 0.9134849904802553, 'C0024': 0.9122619900683164, 'C0109': 0.8700104206236067}"
C0009,"{'C0010': 0.9760669630706748, 'C0198': 0.9520351377564205, 'C0062': 0.930816960231575}"
C0010,"{'C0009': 0.9760669630706748, 'C0111': 0.9708504756032534, 'C0062': 0.9468996751260049}"
C0011,"{'C0137': 0.9611944701177747, 'C0126': 0.9178664272707295, 'C0153': 0.900300963942053}"
C0012,"{'C0004': 0.9711039819467209, 'C0104': 0.9659896786844349, 'C0113': 0.9266666313281657}"
C0013,"{'C0099': 0.9855644363688848, 'C0169': 0.9210230694470937, 'C0108': 0.9198465159324428}"
C0014,"{'C0060': 0.9763044912298495, 'C0151': 0.9084845085220972, 'C0097': 0.9035777546704962}"
C0015,"{'C0131': 0.9746260478193931, 'C0058': 0.8355728389274786, 'C0094': 0.8154487768859104}"
C0016,"{'C0067': 0.9168655516177493, 'C0042': 0.7522632809302457, 'C0176': 0.7398204837085318}"
C0017,"{'C0081': 0.8567347350005198, 'C0175': 0.8038662272744144, 'C0075': 0.7911919269727665}"
C0018,"{'C0117': 0.9473518653085908, 'C0046': 0.8257522302304172, 'C0171': 0.761384534631618}"
C0019,"{'C0121': 0.9025236295260739, 'C0081': 0.8313225825219901, 'C0119': 0.780886877074617}"
C0020,"{'C0050': 0.8471955082476953, 'C0130': 0.7625116428321821, 'C0078': 0.7618394108156074}"
